2023-03-28 09:12:12.877 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 1 keys and 5 values 
2023-03-28 09:12:12.885 [main] INFO  org.reflections.Reflections - Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
2023-03-28 09:12:12.896 [main] INFO  org.reflections.Reflections - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
2023-03-28 09:12:13.772 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8007"]
2023-03-28 09:12:13.779 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8007 (http) with context path ''
2023-03-28 09:12:13.789 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP service-order 192.168.28.1:8007 register finished
2023-03-28 09:12:14.000 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2023-03-28 09:12:14.010 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2023-03-28 09:12:14.034 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-03-28 09:12:14.121 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2023-03-28 09:12:14.140 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#71316cd7:0/SimpleConnection@1f7853af [delegate=amqp://guest@127.0.0.1:5672/, localPort= 54491]
2023-03-28 09:12:26.218 [main] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Broker not available; cannot force queue declarations during start: java.io.IOException
2023-03-28 09:12:41.284 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2023-03-28 09:12:41.286 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2023-03-28 09:12:41.286 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2023-03-28 09:12:41.288 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2023-03-28 09:12:41.803 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8007"]
2023-03-28 09:12:41.804 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
